Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample
LogisticRegression,pipeline_1,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0079987049102783,3.1994819641113283e-06
SVM,pipeline_1,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0066919326782226,2.6767730712890625e-06
LogisticRegression,pipeline_1,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0069937705993652,2.797508239746093e-06
SVM,pipeline_1,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0070033073425292,2.8013229370117185e-06
BERT_Finetuned,pipeline_1,BERT_Finetuned,0.9164,0.9050583657587548,0.9304,0.9175542406311638,26.138097286224365,0.0104552389144897
LogisticRegression,pipeline_2,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0192101001739501,7.684040069580078e-06
SVM,pipeline_2,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0135235786437988,5.409431457519531e-06
LogisticRegression,pipeline_2,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0107138156890869,4.285526275634765e-06
SVM,pipeline_2,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0109286308288574,4.371452331542969e-06
BERT_Finetuned,pipeline_2,BERT_Finetuned,0.9156,0.9074509803921568,0.9256,0.9164356435643564,25.140355110168457,0.0100561420440673
LogisticRegression,pipeline_3,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0085155963897705,3.406238555908203e-06
SVM,pipeline_3,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0065150260925292,2.606010437011719e-06
LogisticRegression,pipeline_3,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0075058937072753,3.0023574829101564e-06
SVM,pipeline_3,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0060043334960937,2.4017333984375e-06
BERT_Finetuned,pipeline_3,BERT_Finetuned,0.9156,0.9055425448868072,0.928,0.916633741604109,27.802525281906128,0.0111210101127624
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0146193504333496,5.847740173339844e-06
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0125524997711181,5.0209999084472655e-06
LogisticRegression,pipeline_0,BERT_Mean_Frozen,0.86,0.8611556982343499,0.8584,0.8597756410256411,0.0116870403289794,4.674816131591797e-06
SVM,pipeline_0,BERT_Mean_Frozen,0.8632,0.8643659711075441,0.8616,0.8629807692307693,0.0115010738372802,4.600429534912109e-06
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0187036991119384,7.481479644775391e-06
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0152688026428222,6.1075210571289066e-06
LogisticRegression,pipeline_0,BERT_Mean_Frozen,0.86,0.8611556982343499,0.8584,0.8597756410256411,0.0139946937561035,5.597877502441406e-06
SVM,pipeline_0,BERT_Mean_Frozen,0.8632,0.8643659711075441,0.8616,0.8629807692307693,0.0166144371032714,6.645774841308594e-06
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0162825584411621,6.513023376464844e-06
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0152263641357421,6.090545654296875e-06
LogisticRegression,pipeline_0,BERT_Mean_Frozen,0.86,0.8611556982343499,0.8584,0.8597756410256411,0.012979507446289,5.191802978515625e-06
SVM,pipeline_0,BERT_Mean_Frozen,0.8632,0.8643659711075441,0.8616,0.8629807692307693,0.0133333206176757,5.333328247070312e-06
BERT_Finetuned,pipeline_0,BERT_Finetuned,0.924,0.9121306376360808,0.9384,0.9250788643533123,25.385496616363525,0.01015419864654541
